,ISBN1,ISBN2,SeriesSimilarity,AuthorSimilarity,AnnotationSimilarity
0,9780000000000.0,9780000000000.0,0.0,0.0,0.009989033123111555
1,9780000000000.0,9780000000000.0,0.0,0.9486832980505137,0.9999999999999999
2,9780000000000.0,9780000000000.0,0.0,0.0,0.0
3,9780000000000.0,9780000000000.0,0.0,0.0,0.0
4,9780000000000.0,9780010000000.0,0.0,0.0,0.0
5,9780000000000.0,9780010000000.0,0.0,0.0,0.0
6,9780000000000.0,9780010000000.0,0.0,0.0,0.0
7,9780000000000.0,9780010000000.0,0.0,0.0,0.0
8,9780000000000.0,9780010000000.0,0.0,0.0,0.0
9,9780000000000.0,9780010000000.0,0.0,0.0,0.0
10,9780000000000.0,9780010000000.0,0.0,0.0,0.0
11,9780000000000.0,9780010000000.0,0.0,0.0,0.0
12,9780000000000.0,9780010000000.0,0.0,0.0,0.0
13,9780000000000.0,9780010000000.0,0.0,0.0,0.0
14,9780000000000.0,9780010000000.0,0.0,0.0,0.0
15,9780000000000.0,9780010000000.0,0.0,0.0,0.0
16,9780000000000.0,9780010000000.0,0.0,0.0,0.0
17,9780000000000.0,9780010000000.0,0.0,0.0,0.0
18,9780000000000.0,9780010000000.0,0.0,0.0,0.0
19,9780000000000.0,9780010000000.0,0.0,0.0,0.0
20,9780000000000.0,9780010000000.0,0.0,0.0,0.0
21,9780000000000.0,9780010000000.0,0.0,0.0,0.0
22,9780000000000.0,9780010000000.0,0.0,0.0,0.0
23,9780000000000.0,9780010000000.0,0.0,0.0,0.0
24,9780000000000.0,9780010000000.0,0.0,0.0,0.0
25,9780000000000.0,9780010000000.0,0.0,0.0,0.0
26,9780000000000.0,9780010000000.0,0.0,0.0,0.0
27,9780000000000.0,9780010000000.0,0.0,0.0,0.0
28,9780000000000.0,9780010000000.0,0.0,0.0,0.0
29,9780000000000.0,9780010000000.0,0.0,0.0,0.0
30,9780000000000.0,9780010000000.0,0.0,0.0,0.0
31,9780000000000.0,9780010000000.0,0.0,0.0,0.0
32,9780000000000.0,9780010000000.0,0.0,0.0,0.0
33,9780000000000.0,9780010000000.0,0.0,0.0,0.0
34,9780000000000.0,9780010000000.0,0.0,0.0,0.0
35,9780000000000.0,9780010000000.0,0.0,0.0,0.0
36,9780000000000.0,9780010000000.0,0.0,0.0,0.01729610364571267
37,9780000000000.0,9780010000000.0,0.0,0.0,0.0
38,9780000000000.0,9780010000000.0,0.0,0.0,0.0
39,9780000000000.0,9780010000000.0,0.0,0.0,0.0
40,9780000000000.0,9780010000000.0,0.0,0.0,0.0
41,9780000000000.0,9780010000000.0,0.0,0.0,0.0
42,9780000000000.0,9780010000000.0,0.0,0.0,0.0
43,9780000000000.0,9780010000000.0,0.0,0.0,0.0
44,9780000000000.0,9780010000000.0,0.0,0.0,0.0
45,9780000000000.0,9780010000000.0,0.0,0.0,0.0
46,9780000000000.0,9780010000000.0,0.0,0.0,0.0
47,9780000000000.0,9780010000000.0,0.0,0.0,0.0
48,9780000000000.0,9780010000000.0,0.0,0.0,0.0
49,9780000000000.0,9780010000000.0,0.0,0.0,0.0
50,9780000000000.0,9780010000000.0,0.0,0.0,0.0
51,9780000000000.0,9780010000000.0,0.0,0.0,0.0
52,9780000000000.0,9780010000000.0,0.0,0.0,0.008935488057389985
53,9780000000000.0,9780010000000.0,0.0,0.0,0.0
54,9780000000000.0,9780010000000.0,0.0,0.0,0.012308683231111546
55,9780000000000.0,9780010000000.0,0.0,0.0,0.01734224908923563
56,9780000000000.0,9780010000000.0,0.0,0.0,0.0
57,9780000000000.0,9780010000000.0,0.0,0.0,0.0
58,9780000000000.0,9780010000000.0,0.0,0.0,0.0
59,9780000000000.0,9780010000000.0,0.0,0.0,0.0
60,9780000000000.0,9780010000000.0,0.0,0.0,0.01253386682411358
61,9780000000000.0,9780010000000.0,0.0,0.0,0.0
62,9780000000000.0,9780010000000.0,0.0,0.0,0.0
63,9780000000000.0,9780010000000.0,0.0,0.0,0.010219816466600348
64,9780000000000.0,9780010000000.0,0.0,0.0,0.0
65,9780000000000.0,9780010000000.0,0.0,0.0,0.0
66,9780000000000.0,9780010000000.0,0.0,0.0,0.015774470542092016
67,9780000000000.0,9780010000000.0,0.0,0.0,0.0
68,9780000000000.0,9780010000000.0,0.0,0.0,0.008516440065659108
69,9780000000000.0,9780010000000.0,0.0,0.0,0.0
70,9780000000000.0,9780010000000.0,0.0,0.0,0.0
71,9780000000000.0,9780010000000.0,0.0,0.0,0.0
72,9780000000000.0,9780010000000.0,0.0,0.0,0.0
73,9780000000000.0,9780010000000.0,0.0,0.0,0.0
